,Unnamed: 0,storeNumber,latitude,longitude,postalCode
123,9533,13482-249086,33.197359,-87.524518,354045850
124,9534,72121-3608,33.214493,-87.545864,35487
125,9535,48066-207044,33.205982,-87.547243,35401
126,9536,47023-256271,33.165856,-87.549457,354053905
127,20934,12493-152666,34.756818,-86.712041,35806
128,20935,11428-104120,34.753649,-86.740188,357588751
129,20936,72635-32262,34.741159,-86.682051,358061776
130,20937,16910-165028,34.751055,-86.755426,35758
131,20938,48885-260445,34.708284,-86.748701,35758
132,20939,53972-286058,34.69734,-86.632688,35898
133,20940,10062-99521,34.741708,-86.601421,358015927
134,20941,61109-294898,34.720202,-86.584031,35801
135,20942,9507-96863,34.719742,-86.578434,358014543
136,20943,9543-97230,34.691553,-86.574532,358021350
137,20944,72653-48479,34.67782,-86.548188,358024913
138,20945,56081-288866,34.616952,-86.566828,35803
139,20946,54712-288442,34.817838,-86.492143,35811
140,20947,10248-100069,34.784046,-86.94581,356114404
141,20948,76832-97609,34.593277,-86.956764,35601
142,20949,13704-107959,34.559259,-87.000504,356033231
143,20950,66182-299282,34.649055,-86.0298,35769
144,20951,55499-289341,34.301497,-86.275653,359765747
145,20952,63716-297817,34.278164,-86.203936,35950
146,25262,76606-101463,33.608802,-85.784932,362033459
147,27398,9738-97528,33.607493,-85.828186,362032421
148,27938,64645-297001,33.809591,-85.761768,36265
149,28247,20271-202065,34.839286,-87.635958,356301539
150,28248,17646-153585,34.806125,-87.67931,356320002
151,4197,56266-288985,36.116648,-94.155839,72703
152,4198,47062-256484,36.096119,-94.152054,727033308
153,4199,29087-251505,36.175427,-94.177163,727624806
154,4200,75494-107197,36.066467,-94.175126,72701
155,4201,24570-233804,36.077876,-94.210315,727046551
156,4202,17955-176365,36.055315,-94.190135,727016216
157,4203,62913-296332,36.039036,-94.253923,72730
158,4204,59998-285644,36.254305,-94.136473,72745
159,4205,10485-100878,36.283698,-94.153431,727585802
160,4206,70343-138924,36.299354,-94.172655,727589080
161,4207,18208-176368,36.312551,-94.178865,727589073
162,4208,10422-100877,36.334699,-94.180444,727561473
163,4209,13462-107100,36.335713,-94.200197,727126774
164,4210,27606-244627,36.35759,-94.252879,72719
165,4211,53377-284732,36.181332,-94.507558,72761
166,4212,60628-100875,36.421509,-94.223663,72712
167,4213,26672-244125,35.467271,-94.355447,729566537
168,4334,76683-102489,34.604318,-92.53041,720226204
169,4335,10991-101243,34.605275,-92.532942,72015
170,4336,25805-223044,34.61055,-92.530879,72022
171,4337,28984-247347,34.661406,-92.408628,72209
172,4338,54201-282366,34.756339,-92.449584,72223
173,4339,19456-176367,34.75781,-92.449805,722236115
174,4340,76960-129148,34.754353,-92.41497,722113360
175,4341,8583-291233,34.742862,-92.39384,72211
176,4342,59074-281834,34.722427,-92.338501,72204
177,4343,24964-239005,34.771198,-92.397528,722124183
178,4344,9048-151745,34.749296,-92.344509,722055246
179,4345,10657-100879,34.797541,-92.415427,722231701
180,4346,10484-101095,34.752726,-92.340592,722053104
181,4347,54199-283119,34.803865,-92.42883,72223
182,4348,8579-84082,34.771342,-92.35778,722072529
183,4349,52531-282424,34.759707,-92.30814,722022005
184,4350,11431-104464,34.740065,-92.276477,722014125
185,4351,48764-205406,34.748479,-92.271323,72201
186,4352,11709-104595,34.849957,-92.404942,721137266
187,4353,61252-293956,34.755803,-92.263281,72114
188,4354,70011-120025,34.728096,-92.22092,722024404
189,4355,75684-84361,34.730041,-92.220019,722024404
190,4356,9813-97844,34.799889,-92.254864,721167315
191,4357,25530-239094,34.820054,-92.233769,721165316
192,4358,3883-108573,34.900866,-92.149629,720994947
193,4359,11215-103991,34.885897,-92.108953,720762730
194,4360,8782-85860,34.457481,-93.062615,719137211
195,4361,62696-295816,34.492904,-93.082481,71913
196,4362,47683-256485,35.069889,-92.45576,720348691
197,4363,70039-116729,35.080139,-92.456712,720355001
198,4364,52210-95143,35.089357,-92.472857,720344820
199,4365,76225-88902,35.0785,-92.3874,720324717
200,4366,9810-98145,35.091106,-92.418565,720324715
201,4367,9811-98146,35.111191,-92.438775,720329286
202,4368,54865-262085,34.979294,-92.038409,72023
203,4369,20651-205405,34.125524,-93.059793,71999
204,10443,76995-129147,35.33835,-94.389269,729036099
205,10444,29088-251507,35.339153,-94.38259,729036007
206,10445,7969-94774,35.359258,-94.363306,729033905
207,10446,21675-208464,35.383891,-94.375756,72913
208,11160,11743-104981,35.2824,-93.107118,728025006
209,11161,17694-116730,35.2471,-91.730492,72149
210,11162,25831-241311,35.250063,-91.693654,721434866
211,12011,10483-91426,36.122735,-94.145841,727034427
212,28260,76486-93022,35.823085,-90.666498,724016376
213,28261,19149-193825,35.816383,-90.669654,724016390
214,28262,48622-262264,35.842798,-90.67858,72401
215,28263,29765-255204,35.820671,-90.705683,724015828
216,28264,25760-242047,35.860221,-90.649842,72401
217,2473,5435-1163,33.508758,-112.045828,850163924
218,2474,52262-280864,33.510116,-112.046507,85016
219,2475,72599-106024,33.507059,-112.041254,850164704
220,2476,20488-195008,33.511188,-112.029746,85016
221,2477,6954-87965,33.523448,-112.04715,850162514
222,2478,52504-281963,33.506191,-112.064596,850143645
223,2479,10128-98948,33.51824,-112.064633,850142502
224,2480,19764-172585,33.495432,-112.021147,850166856
225,2481,74323-64659,33.511188,-112.014558,850164502
226,2482,19281-187644,33.48764,-112.065304,850122354
227,2483,57627-290892,33.480544,-112.042313,85016
228,2484,20314-204748,33.509137,-112.082493,850132207
229,2485,9590-96066,33.516411,-112.08282,850131903
230,2486,19210-169088,33.511027,-112.085372,850132207
231,2487,74723-98265,33.539217,-112.06239,850205332
232,2488,16299-164165,33.53135,-112.013408,850162305
233,2489,74439-82503,33.488398,-112.081871,850133808
234,2490,5160-145465,33.481639,-112.016552,85018
235,2491,50512-275164,33.48745,-112.08358,850134109
236,2492,75274-80037,33.482085,-112.079816,850134409
237,2493,11434-105423,33.480056,-112.013308,850168000
238,2494,76825-111230,33.522362,-112.093326,850152433
239,2495,74998-101007,33.466177,-112.067236,850041533
240,2496,5326-232507,33.464165,-112.065384,850041739
241,2497,5810-20223,33.495252,-111.988299,850185360
242,2498,21102-152448,33.537437,-112.098364,85021
243,2499,13213-100434,33.479302,-111.987565,850081567
